date,i,symbol,Open,High,Low,Adj Close,Volume,Open Interest,option_type,strike,expiry,nifty,niftyHigh,niftyLow,signal,ATR,renko_uptrend,renko_brick_num,renko_brick_diff,unique_brick_id,renko_brick_volume,renko_brick_volume_osc,renko_static_candles,renko_brick_high,renko_brick_low,trade_price,limit1,limit2,sl1,sl2,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num,return,cum_return,sum_return,prev_peak_cum_return,drawdown_from_prev_peak,prev_peak_sum_return,drawdown_from_prev_peak_sum
2022-05-02 13:01:00+05:30,227,NIFTYWEEKLYOPTIONCall,286.18589999999995,281.6,273.9,273.9,8700.0,319950,CE,16800,2022-05-05,17012.85,17020.3,17012.1,,7.297433858725708,True,1.0,0.0,2022-05-02 12:59:00+05:301.0,442700.0,2.1930975470621794,1.0,280.0,270.0,,-318.0,,-263.9,,-0.046074596966517056,0.08118811881188237,0.008900515888773384,0.12523035094593574,1.0,1.0,-0.046074596966517056,-0.27796359359296474,0.008900515888773384,0.10421712138007491,21.0,-0.03585816072699591,-0.268978896256421,-0.2954840783504634,-0.056640625,-0.21233827125642102,-0.056640625,-0.23884345335046342
2022-05-02 13:28:00+05:30,254,NIFTYWEEKLYOPTIONCall,275.92379999999997,266.5,255.15,261.7,51000.0,333300,CE,16800,2022-05-05,16995.35,17006.65,16992.3,,7.357880250461405,True,1.0,0.0,2022-05-02 12:59:00+05:301.0,442700.0,2.1930975470621794,28.0,280.0,270.0,,,,285.9,,-0.04683829376081361,0.041584158415842065,-0.036566126480742374,0.08871349192619427,0.0,-1.0,-0.0,-0.27023066302500554,-0.0,0.10426638884107577,22.0,0.0,-0.268978896256421,-0.2954840783504634,-0.056640625,-0.21233827125642102,-0.056640625,-0.23884345335046342
2022-05-02 13:34:00+05:30,260,NIFTYWEEKLYOPTIONCall,286.18589999999995,290.5,283.9,286.4,10300.0,309500,CE,16800,2022-05-05,17023.2,17030.3,17022.75,,7.662803553701884,True,2.0,0.0,2022-05-02 13:33:00+05:302.0,174000.0,0.8619809649623202,0.0,290.0,280.0,,-318.0,,-276.4,,0.0007481151237711536,0.13425742574257504,0.03587848072524063,0.12523035094593563,1.0,1.0,0.0007481151237711536,-0.2696847115471501,0.03587848072524063,0.1401448695663164,23.0,-0.05750073640944551,-0.31101314805252245,-0.35298481475990895,-0.056640625,-0.25437252305252245,-0.056640625,-0.29634418975990895
2022-05-02 13:45:00+05:30,271,NIFTYWEEKLYOPTIONCall,269.73,270.5,264.1,268.0,11350.0,318700,CE,16800,2022-05-05,17002.2,17009.7,17001.35,,7.616050352318364,False,-1.0,0.0,2022-05-02 13:45:00+05:30-1.0,217450.0,1.0772285105233135,0.0,280.0,270.0,,,,-264.1,,-0.011048085122159268,0.056435643564357596,-0.025693112923954944,0.0660102099493777,0.0,-1.0,-0.0,-0.31219293731010045,-0.0,0.10661784149371342,24.0,-0.0,-0.31101314805252245,-0.35298481475990895,-0.056640625,-0.25437252305252245,-0.056640625,-0.29634418975990895
2022-05-02 13:55:00+05:30,281,NIFTYWEEKLYOPTIONCall,263.83590000000004,270.6,262.05,270.3,20600.0,313000,CE,16800,2022-05-05,17004.9,17004.9,16998.8,,7.556401708486642,False,-1.0,0.0,2022-05-02 13:45:00+05:30-1.0,217450.0,1.0772285105233135,9.0,280.0,270.0,,246.0,,280.3,,0.024500456533777193,0.07049504950495167,-0.026606983042619985,0.043916070254089536,-1.0,-1.0,-0.024500456533777193,-0.32904452435315934,0.026606983042619985,0.1332248245363334,25.0,-0.009210649498418997,-0.3173591644548298,-0.36219546425832794,-0.056640625,-0.2607185394548298,-0.056640625,-0.30555483925832794
2022-05-02 14:09:00+05:30,295,NIFTYWEEKLYOPTIONCall,266.26599999999996,266.7,258.55,258.9,12850.0,318000,CE,16800,2022-05-05,16995.0,17004.75,16993.65,,7.687266634268389,False,-2.0,0.0,2022-05-02 14:07:00+05:30-2.0,274900.0,1.3618308463686313,1.0,270.0,260.0,,-274.0,,,,-0.0060691188510736405,0.04811881188118927,0.03600355220150541,0.05308456039936881,0.0,1.0,-0.0,-0.3212294642909447,0.0,0.16005988659255954,26.0,0.0,-0.3173591644548298,-0.36219546425832794,-0.056640625,-0.2607185394548298,-0.056640625,-0.30555483925832794
2022-05-02 14:12:00+05:30,298,NIFTYWEEKLYOPTIONCall,274.0,274.1,267.5,271.0,12200.0,320650,CE,16800,2022-05-05,17013.45,17014.7,17006.85,,7.696117721416121,False,-2.0,0.0,2022-05-02 14:07:00+05:30-2.0,274900.0,1.3618308463686313,4.0,270.0,260.0,,222.0,,280.0,,-0.011313868613138767,0.07287128712871427,0.0200909900366018,0.08171685767265663,-1.0,-1.0,0.011313868613138767,-0.3135499436314627,-0.0200909900366018,0.13996889655595773,27.0,0.046492700729927124,-0.28562134838180075,-0.3157027635284008,-0.056640625,-0.22898072338180075,-0.056640625,-0.2590621385284008
2022-05-02 14:31:00+05:30,317,NIFTYWEEKLYOPTIONCall,261.26099999999997,263.65,255.0,257.0,12600.0,318400,CE,16800,2022-05-05,16992.4,16997.25,16987.45,,7.599182810303937,False,-3.0,0.0,2022-05-02 14:26:00+05:30-3.0,216650.0,1.0732653796499234,4.0,260.0,250.0,,-264.0,,,,-0.016309361136947254,0.01782178217821917,0.03787813071844914,0.03410865894036338,0.0,1.0,-0.0,-0.29253672414147913,0.0,0.22545522600670007,28.0,0.0,-0.28562134838180075,-0.3157027635284008,-0.056640625,-0.22898072338180075,-0.056640625,-0.2590621385284008
2022-05-02 14:34:00+05:30,320,NIFTYWEEKLYOPTIONCall,264.0,263.0,258.6,262.7,10400.0,324800,CE,16800,2022-05-05,16999.05,16999.9,16994.15,,7.490724813860184,False,-3.0,0.0,2022-05-02 14:26:00+05:30-3.0,216650.0,1.0732653796499234,7.0,260.0,250.0,,236.0,,270.0,,-0.0037878787878787845,0.041584158415843175,0.009132483563272472,0.044537854430902794,-1.0,-1.0,0.0037878787878787845,-0.28985693900565135,-0.009132483563272472,0.21632274244342758,29.0,0.008289583333333506,-0.27969944701765737,-0.3074131801950673,-0.056640625,-0.22305882201765737,-0.056640625,-0.2507725551950673
2022-05-02 14:41:00+05:30,327,NIFTYWEEKLYOPTIONCall,261.81154999999995,261.2,255.75,260.55,12200.0,318650,CE,16800,2022-05-05,16993.4,16993.65,16990.85,,7.474060170898417,False,-3.0,0.0,2022-05-02 14:26:00+05:30-3.0,216650.0,1.0732653796499234,14.0,260.0,250.0,,-264.0,,,,-0.004818542191893149,0.031881188118813686,0.03998319321237592,0.036213721434290136,0.0,1.0,-0.0,-0.28860139233860926,0.0,0.2646300686524162,30.0,0.0,-0.27969944701765737,-0.3074131801950673,-0.056640625,-0.22305882201765737,-0.056640625,-0.2507725551950673
2022-05-02 14:44:00+05:30,330,NIFTYWEEKLYOPTIONCall,264.0,266.4,260.45,266.4,9300.0,314000,CE,16800,2022-05-05,17002.5,17002.5,16997.35,,7.383313447467828,False,-3.0,0.0,2022-05-02 14:26:00+05:30-3.0,216650.0,1.0732653796499234,17.0,260.0,250.0,,236.0,,270.0,,0.011363636363636465,0.05742574257425925,0.006841531816716784,0.04453785443090284,-1.0,-1.0,-0.011363636363636465,-0.2966854674256706,-0.006841531816716784,0.2577885368356994,31.0,-0.02374999999999993,-0.296806585150988,-0.33116318019506724,-0.056640625,-0.240165960150988,-0.056640625,-0.27452255519506724
2022-05-02 14:46:00+05:30,332,NIFTYWEEKLYOPTIONCall,270.27,319.25,273.9,302.45,88500.0,311750,CE,16800,2022-05-05,17051.6,17065.6,17010.15,,7.797968297456362,True,4.0,3.0,2022-05-02 14:46:00+05:304.0,88500.0,0.4384213528687663,0.0,300.0,290.0,,286.0,,,,0.1403411403411403,0.22059405940594234,0.012172800931208644,0.06801021061604495,0.0,1.0,0.0,-0.3052990948470865,0.0,0.24648898158176594,32.0,0.0,-0.296806585150988,-0.33116318019506724,-0.056640625,-0.240165960150988,-0.056640625,-0.27452255519506724
2022-05-02 15:05:00+05:30,351,NIFTYWEEKLYOPTIONCall,314.0,323.65,312.4,318.15,10750.0,282600,CE,16800,2022-05-05,17068.0,17072.0,17063.9,,8.896825564194353,False,-2.0,0.0,2022-05-02 15:02:00+05:30-2.0,116950.0,0.5793601945536975,2.0,310.0,300.0,,262.0,,320.0,,0.013216560509553998,0.2600000000000018,0.004148721444457818,0.21798173719284017,-1.0,-1.0,-0.013216560509553998,-0.31448065139608194,-0.004148721444457818,0.2423402601373081,33.0,-0.020127388535031644,-0.3109600322269297,-0.3512905687300989,-0.056640625,-0.2543194072269297,-0.056640625,-0.2946499437300989
