date,i,symbol,Open,High,Low,Adj Close,Volume,OpenInterest,nifty,niftyHigh,niftyLow,option_type,strike,expiry
2023-05-30 09:20:18+05:30,100,NIFTY01JUN2318400CE,237.4,237.4,236.1,236.1,4350,2528100.0,18614.85,18614.85,18613.9,CE,18400,2023-06-01
2023-05-30 09:20:20+05:30,101,NIFTY01JUN2318400CE,236.9,236.9,235.9,235.9,600,2528100.0,18613.0,18614.55,18613.0,CE,18400,2023-06-01
2023-05-30 09:20:22+05:30,102,NIFTY01JUN2318400CE,237.6,237.6,237.6,237.6,850,2528100.0,18614.65,18614.7,18614.65,CE,18400,2023-06-01
2023-05-30 09:20:24+05:30,103,NIFTY01JUN2318400CE,237.2,238.7,237.2,238.7,300,2532000.0,18615.1,18615.95,18615.1,CE,18400,2023-06-01
2023-05-30 09:20:26+05:30,104,NIFTY01JUN2318400CE,238.8,238.8,238.65,238.65,200,2532000.0,18615.95,18616.3,18615.95,CE,18400,2023-06-01
2023-05-30 09:20:28+05:30,105,NIFTY01JUN2318400CE,237.45,237.45,237.05,237.05,6200,2532000.0,18615.95,18616.45,18615.95,CE,18400,2023-06-01
2023-05-30 09:20:30+05:30,106,NIFTY01JUN2318400CE,237.9,238.2,237.9,238.2,950,2532000.0,18616.15,18616.15,18615.55,CE,18400,2023-06-01
2023-05-30 09:20:32+05:30,107,NIFTY01JUN2318400CE,238.35,240.0,238.35,240.0,600,2532000.0,18616.95,18617.1,18616.95,CE,18400,2023-06-01
2023-05-30 09:20:34+05:30,108,NIFTY01JUN2318400CE,241.5,241.75,241.5,241.75,600,2532000.0,18618.95,18618.95,18617.9,CE,18400,2023-06-01
2023-05-30 09:20:36+05:30,109,NIFTY01JUN2318400CE,242.4,243.6,242.4,243.6,2400,2532000.0,18620.6,18620.6,18619.6,CE,18400,2023-06-01
2023-05-30 09:20:38+05:30,110,NIFTY01JUN2318400CE,243.7,243.7,243.4,243.4,1800,2532000.0,18622.75,18622.75,18621.9,CE,18400,2023-06-01
2023-05-30 09:20:40+05:30,111,NIFTY01JUN2318400CE,241.95,242.55,241.95,242.55,1150,2532000.0,18622.4,18622.4,18621.95,CE,18400,2023-06-01
2023-05-30 09:20:42+05:30,112,NIFTY01JUN2318400CE,243.1,243.75,243.1,243.75,5350,2532000.0,18625.3,18625.3,18622.9,CE,18400,2023-06-01
2023-05-30 09:20:44+05:30,113,NIFTY01JUN2318400CE,245.6,246.0,245.6,246.0,6200,2532000.0,18625.45,18625.45,18623.65,CE,18400,2023-06-01
2023-05-30 09:20:46+05:30,114,NIFTY01JUN2318400CE,246.2,246.55,243.95,243.95,5100,2532000.0,18625.6,18625.6,18625.6,CE,18400,2023-06-01
2023-05-30 09:20:48+05:30,115,NIFTY01JUN2318400CE,243.4,243.4,241.5,241.5,2350,2532000.0,18622.7,18623.4,18622.7,CE,18400,2023-06-01
2023-05-30 09:20:50+05:30,116,NIFTY01JUN2318400CE,239.4,239.4,238.55,238.55,6150,2532000.0,18617.0,18618.75,18617.0,CE,18400,2023-06-01
2023-05-30 09:20:52+05:30,117,NIFTY01JUN2318400CE,239.3,239.6,239.3,239.6,2250,2532000.0,18618.4,18618.4,18617.55,CE,18400,2023-06-01
2023-05-30 09:20:54+05:30,118,NIFTY01JUN2318400CE,241.5,241.5,241.5,241.5,3350,2532000.0,18618.75,18618.75,18617.95,CE,18400,2023-06-01
2023-05-30 09:20:56+05:30,119,NIFTY01JUN2318400CE,241.95,241.95,241.95,241.95,1300,2532000.0,18618.9,18618.9,18618.9,CE,18400,2023-06-01
2023-05-30 09:20:58+05:30,120,NIFTY01JUN2318400CE,241.6,242.25,241.6,242.25,4200,2532000.0,18620.25,18620.25,18620.0,CE,18400,2023-06-01
2023-05-30 09:21:00+05:30,121,NIFTY01JUN2318400CE,243.45,243.45,241.65,241.65,3600,2532000.0,18621.15,18621.15,18620.45,CE,18400,2023-06-01
