date,i,Open,High,Low,Adj Close,Volume,symbol,signal,ma_superTrend,ma_superTrend_pct_change,ma20,MA-FAST,ma20_pct_change,ma20_pct_change_ma,ma20_pct_change_ma_sq,std,upper_band,lower_band,super_upper_band,super_lower_band,ADX,ADX-PCT-CHNG,OBV,OBV-OSC,OBV-TREND,OBV-OSC-PCT-CHNG,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num
2023-03-27 13:06:00+05:30,232,8252.95,8252.95,8251.9,8252.6,650,MARUTI,,8256.607443601753,-0.03547776653678447,8246.385,8247.628571428571,0.35168161414578236,-0.38930019881105427,-0.28411311826345836,3.609636023478412,8253.604272046958,8239.165727953043,8255.409090058696,8237.360909941304,33.00869562134496,-0.07872744834822343,-10933.488718775192,-0.0026788366123401564,0,-0.9417571357954807,-3.02925655984998e-05,0.00018179394262451964,-3.0293024427531164e-05,0.00018177742010831098,0.0,-1.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:07:00+05:30,233,8252.6,8252.6,8247.5,8251.75,552,MARUTI,,8256.572275642997,-0.042593715393612896,8247.155000000002,8248.707142857142,0.9337424823141482,-0.26902359136530435,-0.28637155627496663,3.868207307986072,8254.891414615975,8239.41858538403,8256.825518269967,8237.484481730038,30.173746395506058,-0.09856899413334808,-10955.465700468734,-0.0041810310010414855,0,-0.856603840967471,-0.00010299784310408011,7.877737513650729e-05,-0.00010300314774616975,7.877427236214122e-05,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:08:00+05:30,234,8251.55,8251.55,8247.35,8249.1,595,MARUTI,,8256.518298516376,-0.0653747400480853,8247.77,8249.32857142857,0.7457117030029714,-0.17677492819159837,-0.2915106657836262,3.605335552237961,8254.980671104477,8240.559328895524,8256.783338880596,8238.756661119405,27.544999380659096,-0.17104809200834004,-11004.72978083515,-0.004793266238213005,0,-0.5808527701655328,-0.00032114399975757824,-0.00024239192350239414,-0.00032119557753475974,-0.0002424213051726185,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:09:00+05:30,235,8249.05,8250.3,8247.6,8249.75,564,MARUTI,,8256.469516364326,-0.05908319982483867,8248.4,8249.828571428572,0.763842832667283,-0.09126422261741364,-0.30898482652146175,3.3044582678918526,8255.008916535784,8241.791083464215,8256.66114566973,8240.13885433027,25.179127067362124,-0.23719715082954906,-11024.790477772442,-0.007337726122392688,0,1.0,7.879647476682905e-05,-0.0001636145483646656,7.879337048768097e-05,-0.00016362793468493753,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:10:00+05:30,236,8249.5,8249.8,8248.15,8249.7,723,MARUTI,,8256.420834109196,-0.05896255661497207,8248.95,8250.492857142857,0.6667959846762272,-0.02234965828754334,-0.3495416975650564,2.968351581419205,8254.88670316284,8243.013296837162,8256.370878953549,8241.529121046453,23.04984198544774,-0.2360961186814814,-11009.466968690782,-0.010586499380974139,0,1.0,-6.060789720763182e-06,-0.00016967434645209778,-6.060808087423413e-06,-0.00016968874277236096,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:11:00+05:30,237,8249.75,8252.6,8249.25,8252.35,736,MARUTI,,8256.391623877487,-0.035378806744201796,8249.710000000001,8251.157142857142,0.9213293813159495,0.06343934534723239,-0.5,2.7374765346194727,8255.18495306924,8244.235046930762,8256.55369133655,8242.866308663451,22.741250083609664,-0.17439642058668614,-10959.825212422567,-0.0039019820377495396,0,-0.1859450646321178,0.00032122380207755263,0.00015149495218680364,0.00032117222075784483,0.00015148347798548388,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:12:00+05:30,238,8252.4,8254.65,8248.3,8251.85,731,MARUTI,,8256.359107047174,-0.03938382745705127,8250.27,8251.014285714286,0.6788117400491345,0.11938229034056001,-0.5,2.514756449404685,8255.29951289881,8245.240487101191,8256.556891123511,8243.98310887649,23.351715054416143,-0.07257646415052743,-10947.357232251616,0.0012013405338038516,0,-1.0,-6.0588801977567996e-05,9.089697131159369e-05,-6.059063755317446e-05,9.089284043230941e-05,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:13:00+05:30,239,8251.8,8252.95,8251.65,8252.1,557,MARUTI,,8256.328679435457,-0.03685354685090125,8250.975,8250.942857142858,0.8545174885177254,0.186212762924305,-0.42723758022410163,1.7652903443433612,8254.505580688687,8247.444419311314,8255.38822586086,8246.561774139142,23.90113352813203,0.03693264115310391,-10908.958937626978,0.014189288632796362,0,-1.0,3.029623660144587e-05,0.00012119596174908764,3.0295777679738806e-05,0.00012118861811204822,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:14:00+05:30,240,8252.1,8255.0,8249.55,8252.9,1043,MARUTI,,8256.304237520659,-0.029603853900495025,8251.495,8251.107142857143,0.6302285487480574,0.22657783437500909,-0.36869156792958024,1.4268165808528395,8254.348633161706,8248.641366838296,8255.062041452133,8247.927958547869,22.809699881527173,0.0030099399842071772,-10822.722089368448,0.02993820029751593,0,-1.0,9.694502005541672e-05,0.0002181527311495568,9.694032119064518e-05,0.0002181289393026934,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:15:00+05:30,241,8252.8,8256.0,8252.75,8254.9,616,MARUTI,,8256.29424869001,-0.012098428499029978,8251.7,8251.935714285715,0.24843982817657206,0.2285652883575146,-0.3343767329120949,1.7530925055962299,8255.206185011193,8248.193814988808,8256.082731263992,8247.31726873601,22.362396895037335,-0.042365974279551466,-10711.258260739092,0.04418223008376637,0,1.0,0.00024233905657400356,0.00046054465465061867,0.0002423096972080179,0.0004604386365107113,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:16:00+05:30,242,8254.85,8255.0,8253.7,8254.7,813,MARUTI,,8256.282932440401,-0.013706209187613894,8251.91,8252.642857142857,0.2544930135606194,0.23092235428565744,-0.30304135349406985,1.9835153977676925,8255.877030795535,8247.942969204465,8256.86878849442,8246.95121150558,21.959824207201798,-0.08122247920356063,-10643.816888703279,0.046819398946635706,0,1.0,-2.422803425827791e-05,0.0004363054623006679,-2.4228327761840603e-05,0.0004362103087488707,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:17:00+05:30,243,8254.1,8255.0,8253.95,8254.1,520,MARUTI,,8256.267470439492,-0.018727556982955917,8252.145,8253.271428571428,0.2847825533724979,0.23581873602193493,-0.2735645408986554,2.0983392903984392,8256.341678580797,8247.948321419204,8257.390848225996,8246.899151774005,21.597508788154112,-0.05314366693420525,-10579.587057289797,0.054488370241496976,0,0.8200282481915939,-7.268586381092845e-05,0.00036358788525037156,-7.26885055563399e-05,0.0003635218031925308,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:18:00+05:30,244,8254.05,8254.55,8253.75,8254.35,663,MARUTI,,8256.253917311366,-0.016415563297567104,8252.670000000002,8253.557142857144,0.6361982248259679,0.27221687137525835,-0.234663406545644,1.8991518574452149,8256.468303714892,8248.871696285112,8257.417879643615,8247.922120356388,21.0345330613811,-0.05937931608533942,-10486.844189720507,0.06253999436118439,0,0.4155010791128695,3.028797809578876e-05,0.00039388687568808756,3.028751942424166e-05,0.00039380932261677245,0.0,0.0,0.0,0.00022539266292675997,0.0,0.00022883606521010972,9.0
2023-03-27 13:19:00+05:30,245,8254.35,8254.4,8251.4,8254.3,816,MARUTI,,8256.240135415259,-0.016692674722484924,8253.125,8253.907142857144,0.5513367189013962,0.2975914029732983,-0.2048563334549808,1.650631192361923,8256.426262384724,8249.823737615276,8257.251577980905,8248.998422019095,19.728268220042935,-0.10161993857979146,-10437.375100394202,0.057092529074318325,0,0.21942037614348342,-6.0574121525380775e-06,0.0003878270776003223,-6.057430498733157e-06,0.0003877518921180393,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:20:00+05:30,246,8254.35,8254.35,8253.45,8254.1,559,MARUTI,,8256.22507134378,-0.018245679911377266,8253.565,8254.192857142856,0.5331313896261847,0.31900412903629916,-0.17969180830796486,1.1452922964531613,8255.855584592908,8251.274415407093,8256.428230741134,8250.701769258867,18.552629862848768,-0.14098287701475143,-10416.880922373279,0.04361457914646865,0,-0.19956168714231648,-2.4229795379193675e-05,0.00036358788525037156,-2.4230088925427453e-05,0.00036352180319261187,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:21:00+05:30,247,8254.0,8254.15,8250.0,8252.6,709,MARUTI,,8256.199607595341,-0.030841877758369662,8253.59,8254.15,0.0302899413773261,0.2927573846996007,-0.17083592849853702,1.118232732625641,8255.826465465252,8251.353534534748,8256.385581831564,8250.794418168436,20.0297676675658,-0.04776742088275909,-10431.124771126128,0.0315121987561797,0,-0.49612725299927707,-0.0001817278685743995,0.00018179394262451964,-0.00018174438308430255,0.00018177742010830932,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:22:00+05:30,248,8252.65,8252.7,8248.3,8249.2,652,MARUTI,1.0,8256.150540492425,-0.059430616080602405,8253.325,8253.335714285715,-0.3210724060676018,0.23695467644018092,-0.17263364066075015,1.7255031471949551,8256.77600629439,8249.87399370561,8257.638757867988,8249.011242132014,22.196031396590108,0.12508767363777262,-10475.738125301255,0.0153861281871569,0,-0.7305054017290333,-0.00041199137241587636,-0.00023027232732730774,-0.0004120762641785988,-0.00023029884407028948,0.0,0.0,-0.0,0.00022539266292675997,-0.0,0.00022883606521010972,9.0
2023-03-27 13:23:00+05:30,249,8249.25,8249.75,8244.05,8244.05,681,MARUTI,1.0,8256.065888211628,-0.10253238525881336,8252.52,8251.814285714287,-0.9753644743182299,0.12674384453894763,-0.19922272377915148,3.4130631403278717,8259.346126280656,8245.693873719345,8261.05265785082,8243.987342149181,25.564687786228212,0.3779549301213052,-10550.655754117304,-0.009454241760911709,0,-1.0,-0.0006243029627117647,-0.0008544315303429251,-0.0006244979209526178,-0.0008547967650229072,1.0,1.0,-0.0006243029627117647,-0.0003990510130922331,-0.0006244979209526178,-0.00039566185574250806,10.0
2023-03-27 13:24:00+05:30,250,8244.8,8244.8,8241.15,8242.0,814,MARUTI,,8255.967685292488,-0.11894638496046106,8251.429999999998,8250.085714285715,-1.320808674201146,-0.004851838998189893,-0.27550071870576837,4.754950636485376,8260.93990127297,8241.920098727027,8263.317376591212,8239.542623408784,29.27660226283426,0.4616546107143249,-10660.767940151816,-0.033097604402738776,0,-1.0,-0.00024866418811131386,-0.0011028832519314191,-0.0002486951101767848,-0.001103491875199692,1.0,0.0,-0.00024866418811131386,-0.0006476159715073093,-0.0002486951101767848,-0.0006443569659192929,10.0
2023-03-27 13:25:00+05:30,251,8242.05,8249.0,8242.0,8247.85,913,MARUTI,,8255.911124055021,-0.0685095189600915,8250.725,8249.157142857142,-0.8543973590013909,-0.0820832499157406,0.5,4.705685095931705,8260.136370191864,8241.313629808137,8262.489212739829,8238.960787260172,29.634054834616165,0.33510600634529353,-10722.16023785084,-0.045229802472533324,0,-1.0,0.0007097791798107433,-0.00039388687569064107,0.0007095274056976685,-0.00039396446950202353,1.0,0.0,0.0007097791798107433,6.170354397028177e-05,0.0007095274056976685,6.517043977837564e-05,10.0
2023-03-27 13:26:00+05:30,252,8250.7,8252.45,8246.0,8252.25,883,MARUTI,,8255.88566532987,-0.03083696610617359,8250.48,8248.864285714286,-0.29694360192733527,-0.10161600919140011,0.5,4.536469503413939,8259.552939006828,8241.407060993171,8261.821173758535,8239.138826241464,28.1620863712653,0.1016010289957976,-10738.581254015371,-0.04555236887971356,0,1.0,0.0005334723594634383,0.0001393753560119393,0.0005333301136714997,0.00013936564416947613,1.0,0.0,0.0005334723594634383,0.0005952088205689599,0.0005333301136714997,0.0005985005534498753,10.0
2023-03-27 13:27:00+05:30,253,8252.25,8252.45,8249.25,8252.15,592,MARUTI,,8255.859739558284,-0.03140277450186524,8250.285,8248.585714285715,-0.2363498850976864,-0.11386454336576955,0.5,4.403537088379715,8259.092074176759,8241.477925823241,8261.293842720948,8239.276157279051,26.837314754255008,-0.08331866815282218,-10782.410909040413,-0.045436256991488046,0,0.37279594131979743,-1.2117907237430003e-05,0.0001272557598368529,-1.2117980659861062e-05,0.00012724766350961507,1.0,0.0,-1.2117907237430003e-05,0.000583083700646192,-1.2117980659861062e-05,0.0005863825727900143,10.0
2023-03-27 13:28:00+05:30,254,8251.9,8252.25,8249.0,8249.5,820,MARUTI,,8255.815689089686,-0.053356609713839376,8249.8,8248.142857142857,-0.5878584800411701,-0.15695490124877567,0.5,4.166799997847781,8258.133599995695,8241.466400004303,8260.216999994618,8239.38300000538,25.749478838450617,-0.13108486225880545,-10863.201200932092,-0.04630634342522814,0,0.023801584217586713,-0.000321128433196205,-0.00019391353880215956,-0.000321180005972794,-0.00019393234246317892,1.0,0.0,-0.000321128433196205,0.00026176802269484156,-0.000321180005972794,0.0002652025668172203,10.0
2023-03-27 13:29:00+05:30,255,8249.5,8251.2,8246.05,8251.2,649,MARUTI,,8255.783780976686,-0.0386492555082274,8249.490000000002,8248.42857142857,-0.3757666852499675,-0.17684688161395742,0.5,3.9016947884300697,8257.293389576862,8241.686610423141,8259.244236971077,8239.735763028926,25.902346636831624,-0.08024049442371439,-10909.239420889044,-0.03681322455870326,0,-0.19184829540011517,0.00020607309533926532,1.2119596173976177e-05,0.00020605186519554483,1.2119522732365908e-05,1.0,0.0,0.00020607309533926532,0.0004678950613807853,0.00020605186519554483,0.00047125443201276513,10.0
2023-03-27 13:30:00+05:30,256,8250.6,8250.6,8246.45,8247.35,824,MARUTI,,8255.72559127754,-0.07048355515348881,8248.814999999999,8248.9,-0.8182323998251473,-0.23515465600062224,0.5,3.5867077134964997,8255.988415426991,8241.641584573006,8257.78176928374,8239.848230716258,26.039927655374118,-0.029711880871183816,-10992.323570638979,-0.04002706229281685,0,-0.11905018275789192,-0.0004665987977506836,-0.00045448485656574,-0.0004667076888433341,-0.0004545881661109682,1.0,0.0,-0.0004665987977506836,1.0779443568864622e-06,-0.0004667076888433341,4.546743169431017e-06,10.0
2023-03-27 13:31:00+05:30,257,8246.95,8249.3,8243.7,8249.25,571,MARUTI,,8255.68099811867,-0.05401482689348924,8248.48,8249.935714285715,-0.4061189395077047,-0.25069686359310317,0.5,3.342005385966497,8255.164010771932,8241.795989228067,8256.835013464915,8240.124986535084,27.10193242191018,0.052523532299224795,-11044.260729600817,-0.045289089694822614,0,-0.021967913144515627,0.00023037703019745948,-0.00022421252923976454,0.0002303504974843784,-0.00022423766862658982,1.0,0.0,0.00023037703019745948,0.00023145522288792186,0.0002303504974843784,0.0002348972406538094,10.0
2023-03-27 13:32:00+05:30,258,8248.1,8252.0,8248.1,8251.65,681,MARUTI,,8255.653292224995,-0.033559791956516705,8248.725,8250.478571428572,0.29702442146950503,-0.20090401949379982,0.5,3.487298381244633,8255.69959676249,8241.75040323751,8257.443245953113,8240.006754046888,26.3666455575581,0.01792497518608105,-11061.295991097793,-0.04131926578208914,0,0.12240278534145888,0.00029093553959436136,6.665777896142089e-05,0.00029089322605707076,6.665555743048094e-05,1.0,0.0,0.00029093553959436136,0.0005224581010323526,0.00029089322605707076,0.0005257904667108802,10.0
2023-03-27 13:33:00+05:30,259,8251.75,8255.0,8250.6,8254.9,1101,MARUTI,,8255.648124498666,-0.0062596213112886545,8249.810000000001,8250.857142857143,1.3153547972577506,-0.06306230887322099,0.5,3.5583079624165674,8256.926615924835,8242.693384075168,8258.705769906042,8240.91423009396,24.129046278323216,-0.07338274523418409,-11025.091302404004,-0.023985435437636708,0,-0.4007695278216541,0.000393860621815012,0.00046054465465061867,0.00039378307908032213,0.0004604386365108031,1.0,0.0,0.000393860621815012,0.0009165244985198662,0.00039378307908032213,0.0009195735457912023,10.0
2023-03-27 13:34:00+05:30,260,8255.0,8258.45,8254.7,8254.7,721,MARUTI,,8255.641632424275,-0.007863797358842461,8251.08,8251.221428571429,1.53942939291829,0.08261875493254213,0.2931285795702622,2.5978837541070727,8256.275767508214,8245.884232491786,8257.574709385268,8244.585290614732,22.823217594781795,-0.15787489838434243,-11024.944097071895,-0.017142660454122608,0,-0.6214836604215885,-2.422803425827791e-05,0.0004363054623006679,-2.4228327761840603e-05,0.00043621030874896246,1.0,0.0,-2.422803425827791e-05,0.0008922742586745525,-2.4228327761840603e-05,0.0008953452180293617,10.0
2023-03-27 13:35:00+05:30,261,8254.7,8258.4,8254.7,8258.1,540,MARUTI,,8255.658434101277,0.020351751868208368,8252.105,8252.45,1.2422616190854718,0.1880408334961984,0.38248112907673654,3.1461131221939875,8258.397226244388,8245.812773755611,8259.970282805485,8244.239717194514,21.647971779596613,-0.1789637505332513,-10999.089540028224,-0.0010024375825530782,0,-0.975739220831276,0.0004118865615951872,0.0008483717322524953,0.00041180175961044203,0.0008480120683594045,1.0,0.0,0.0004118865615951872,0.0013045283360462179,0.00041180175961044203,0.0013071469776398037,10.0
2023-03-27 13:36:00+05:30,262,8258.25,8258.25,8258.05,8258.2,684,MARUTI,,8255.675772158287,0.021001422416677684,8252.7,8253.449999999999,0.7210281497882498,0.23649422588818114,0.37113510313792947,3.6918829883773987,8260.083765976755,8245.316234023247,8261.929707470945,8243.470292529057,20.59025054593165,-0.14666123524205388,-11007.037679488449,0.0055149206600320425,0,-1.0,1.2109322967690517e-05,0.0008604913284275817,1.210924965043103e-05,0.0008601213180098355,1.0,0.0,1.2109322967690517e-05,0.0013166534559687637,1.210924965043103e-05,0.0013192562272902348,10.0
